Date,Open,High,Low,Close,Adj Close,Volume
10/2/2017,154.259995,154.449997,152.720001,153.809998,148.404892,18698800
10/3/2017,154.009995,155.089996,153.910004,154.479996,149.051361,16230300
10/4/2017,153.630005,153.860001,152.460007,153.479996,148.086502,20163800
10/5/2017,154.179993,155.440002,154.050003,155.389999,149.929367,21283800
10/6/2017,154.970001,155.490005,154.559998,155.300003,149.842514,17407600
10/9/2017,155.809998,156.729996,155.490005,155.839996,150.363541,16262900
10/10/2017,156.059998,158,155.100006,155.899994,150.421432,15617000
10/11/2017,155.970001,156.979996,155.75,156.550003,151.048615,16905600
10/12/2017,156.350006,157.369995,155.729996,156,150.51796,16125100
10/13/2017,156.729996,157.279999,156.410004,156.990005,151.47316,16394200
10/16/2017,157.899994,160,157.649994,159.880005,154.261597,24121500
10/17/2017,159.779999,160.869995,159.229996,160.470001,154.830856,18997300
10/18/2017,160.419998,160.710007,159.600006,159.759995,154.145813,16374200
10/19/2017,156.75,157.080002,155.020004,155.979996,150.498627,42584200
10/20/2017,156.610001,157.75,155.960007,156.25,150.75914,23974100
10/23/2017,156.889999,157.690002,155.5,156.169998,150.681976,21984300
10/24/2017,156.289993,157.419998,156.199997,157.100006,151.579269,17757200
10/25/2017,156.910004,157.550003,155.270004,156.410004,150.913528,21207100
10/26/2017,157.229996,157.830002,156.779999,157.410004,151.878357,17000500
10/27/2017,159.289993,163.600006,158.699997,163.050003,157.32016,44454200
10/30/2017,163.889999,168.070007,163.720001,166.720001,160.861237,44700800
10/31/2017,167.899994,169.649994,166.940002,169.039993,163.09967,36046800
11/1/2017,169.869995,169.940002,165.610001,166.889999,161.025253,33637800
11/2/2017,166.600006,168.5,165.279999,168.110001,162.202377,41393400
11/3/2017,174,174.259995,171.119995,172.5,166.438095,59398600
11/6/2017,172.369995,174.990005,171.720001,174.25,168.126602,35026300
11/7/2017,173.910004,175.25,173.600006,174.809998,168.666901,24361500
11/8/2017,174.660004,176.240005,174.330002,176.240005,170.046692,24409500
11/9/2017,175.110001,176.100006,173.139999,175.880005,169.699356,29482600
11/10/2017,175.110001,175.380005,174.270004,174.669998,169.13768,25145500
11/13/2017,173.5,174.5,173.399994,173.970001,168.459869,16982100
11/14/2017,173.039993,173.479996,171.179993,171.339996,165.913132,24782500
11/15/2017,169.970001,170.320007,168.380005,169.080002,163.724716,29158100
11/16/2017,171.179993,171.869995,170.300003,171.100006,165.680771,23637500
11/17/2017,171.039993,171.389999,169.639999,170.149994,164.760849,21899500
11/20/2017,170.289993,170.559998,169.559998,169.979996,164.596252,16262400
11/21/2017,170.779999,173.699997,170.779999,173.139999,167.656158,25131300
11/22/2017,173.360001,175,173.050003,174.960007,169.418503,25588900
11/24/2017,175.100006,175.5,174.649994,174.970001,169.428192,14026700
11/27/2017,175.050003,175.080002,173.339996,174.089996,168.576065,20716800
11/28/2017,174.300003,174.869995,171.860001,173.070007,167.588379,26428800
11/29/2017,172.630005,172.919998,167.160004,169.479996,164.112122,41666400
11/30/2017,170.429993,172.139999,168.440002,171.850006,166.407013,41527200
12/1/2017,169.949997,171.669998,168.5,171.050003,165.632339,39759300
12/4/2017,172.479996,172.619995,169.630005,169.800003,164.421921,32542400
12/5/2017,169.059998,171.520004,168.399994,169.639999,164.266983,27350200
12/6/2017,167.5,170.199997,166.460007,169.009995,163.656967,28560000
12/7/2017,169.029999,170.440002,168.910004,169.320007,163.957169,25673300
12/8/2017,170.490005,171,168.820007,169.369995,164.005539,23355200
12/11/2017,169.199997,172.889999,168.789993,172.669998,167.201035,35273800
12/12/2017,172.149994,172.389999,171.460007,171.699997,166.261749,19409200
12/13/2017,172.5,173.539993,172,172.270004,166.813705,23818400
12/14/2017,172.399994,173.130005,171.649994,172.220001,166.765289,20476500
12/15/2017,173.630005,174.169998,172.460007,173.970001,168.459869,40169300
12/18/2017,174.880005,177.199997,174.860001,176.419998,170.832275,29421100
12/19/2017,175.029999,175.389999,174.089996,174.539993,169.01178,27436400
12/20/2017,174.869995,175.419998,173.25,174.350006,168.82782,23475600
12/21/2017,174.169998,176.020004,174.100006,175.009995,169.466919,20949900
12/22/2017,174.679993,175.419998,174.5,175.009995,169.466919,16349400
12/26/2017,170.800003,171.470001,169.679993,170.570007,165.167572,33185500
12/27/2017,170.100006,170.779999,169.710007,170.600006,165.196625,21498200
12/28/2017,171,171.850006,170.479996,171.080002,165.661407,16480200
12/29/2017,170.520004,170.589996,169.220001,169.229996,163.869995,25999900
1/2/2018,170.160004,172.300003,169.259995,172.259995,166.804016,25555900
1/3/2018,172.529999,174.550003,171.960007,172.229996,166.774963,29517900
1/4/2018,172.539993,173.470001,172.080002,173.029999,167.549622,22434600
1/5/2018,173.440002,175.369995,173.050003,175,169.457214,23660000
1/8/2018,174.350006,175.610001,173.929993,174.350006,168.82782,20567800
1/9/2018,174.550003,175.059998,173.410004,174.330002,168.808456,21584000
1/10/2018,173.160004,174.300003,173,174.289993,168.769714,23959900
1/11/2018,174.589996,175.490005,174.490005,175.279999,169.728378,18667700
1/12/2018,176.179993,177.360001,175.649994,177.089996,171.481064,25418100
1/16/2018,177.899994,179.389999,176.139999,176.190002,170.609558,29565900
1/17/2018,176.149994,179.25,175.070007,179.100006,173.427399,34386800
1/18/2018,179.369995,180.100006,178.25,179.259995,173.582321,31193400
1/19/2018,178.610001,179.580002,177.410004,178.460007,172.807663,32425100
1/22/2018,177.300003,177.779999,176.600006,177,171.393921,27108600
1/23/2018,177.300003,179.440002,176.820007,177.039993,171.432632,32689100
1/24/2018,177.25,177.300003,173.199997,174.220001,168.70195,51105100
1/25/2018,174.509995,174.949997,170.529999,171.110001,165.690445,41529000
1/26/2018,172,172,170.059998,171.509995,166.077759,39143000
1/29/2018,170.160004,170.160004,167.070007,167.960007,162.640213,50640400
1/30/2018,165.529999,167.369995,164.699997,166.970001,161.68158,46048200
1/31/2018,166.869995,168.440002,166.5,167.429993,162.127014,32478900
2/1/2018,167.169998,168.619995,166.759995,167.779999,162.465912,47230800
2/2/2018,166,166.800003,160.100006,160.5,155.416519,86593800
2/5/2018,159.100006,163.880005,156,156.490005,151.533508,72738500
2/6/2018,154.830002,163.720001,154,163.029999,157.866333,68243800
2/7/2018,163.089996,163.399994,159.070007,159.539993,154.486877,51608600
2/8/2018,160.289993,161,155.029999,155.149994,150.235947,54390500
2/9/2018,157.070007,157.889999,150.240005,156.410004,152.073547,70672600
2/12/2018,158.5,163.889999,157.509995,162.710007,158.198883,60819500
2/13/2018,161.949997,164.75,161.649994,164.339996,159.783676,32549200
2/14/2018,163.039993,167.539993,162.880005,167.369995,162.729675,40644900
2/15/2018,169.789993,173.089996,169,172.990005,168.193878,51147200
2/16/2018,172.360001,174.820007,171.770004,172.429993,167.649399,40176100
2/20/2018,172.050003,174.259995,171.419998,171.850006,167.08548,33930500
2/21/2018,172.830002,174.119995,171.009995,171.070007,166.327103,37471600
2/22/2018,171.800003,173.949997,171.710007,172.5,167.717453,30991900
2/23/2018,173.669998,175.649994,173.539993,175.5,170.634277,33812400
2/26/2018,176.350006,179.389999,176.210007,178.970001,174.008057,38162200
2/27/2018,179.100006,180.479996,178.160004,178.389999,173.444168,38928100
2/28/2018,179.259995,180.619995,178.050003,178.119995,173.181656,37782100
3/1/2018,178.539993,179.779999,172.660004,175,170.148117,48802000
3/2/2018,172.800003,176.300003,172.449997,176.210007,171.3246,38454000
3/5/2018,175.210007,177.740005,174.520004,176.820007,171.917709,28401400
3/6/2018,177.910004,178.25,176.130005,176.669998,171.771851,23788500
3/7/2018,174.940002,175.850006,174.270004,175.029999,170.177322,31703500
3/8/2018,175.479996,177.119995,175.070007,176.940002,172.034363,23774100
3/9/2018,177.960007,180,177.389999,179.979996,174.990051,32185200
3/12/2018,180.289993,182.389999,180.210007,181.720001,176.681824,32207100
3/13/2018,182.589996,183.5,179.240005,179.970001,174.980347,31693500
3/14/2018,180.320007,180.520004,177.809998,178.440002,173.492752,29368400
3/15/2018,178.5,180.240005,178.070007,178.649994,173.69693,22743800
3/16/2018,178.649994,179.119995,177.619995,178.020004,173.084427,39404700
3/19/2018,177.320007,177.470001,173.660004,175.300003,170.439835,33446800
3/20/2018,175.240005,176.800003,174.940002,175.240005,170.3815,19649400
3/21/2018,175.039993,175.089996,171.259995,171.270004,166.521561,37054900
3/22/2018,170,172.679993,168.600006,168.850006,164.168655,41490800
3/23/2018,168.389999,169.919998,164.940002,164.940002,160.367035,41028800
3/26/2018,168.070007,173.100006,166.440002,172.770004,167.979996,37541200
3/27/2018,173.679993,175.149994,166.919998,168.339996,163.672775,40922600
3/28/2018,167.25,170.020004,165.190002,166.479996,161.864365,41668500
3/29/2018,167.809998,171.75,166.899994,167.779999,163.128311,38398500
4/2/2018,166.639999,168.940002,164.470001,166.679993,162.058807,37586800
4/3/2018,167.639999,168.75,164.880005,168.389999,163.72142,30278000
4/4/2018,164.880005,172.009995,164.770004,171.610001,166.852142,34605500
